"timestamp","pair","EUR/USD"
2026-02-08 11:54:51,EUR/USD,$1.177895
2026-02-08 07:38:51,EUR/USD,$1.179307
2026-02-08 07:00:51,EUR/USD,$1.178010
2026-02-07 19:02:51,EUR/USD,$1.179362
2026-02-07 14:48:51,EUR/USD,$1.178068
2026-02-07 10:18:51,EUR/USD,$1.178276
2026-02-07 09:08:51,EUR/USD,$1.177027
2026-02-07 05:58:51,EUR/USD,$1.178302
2026-02-07 05:04:51,EUR/USD,$1.179502
2026-02-07 03:08:51,EUR/USD,$1.177994
2026-02-07 02:00:51,EUR/USD,$1.179239
2026-02-07 01:26:51,EUR/USD,$1.180422
2026-02-06 21:14:51,EUR/USD,$1.178919
2026-02-06 21:06:51,EUR/USD,$1.180124
2026-02-06 16:46:51,EUR/USD,$1.178926
2026-02-06 14:48:51,EUR/USD,$1.180183
2026-02-06 10:48:51,EUR/USD,$1.179691
2026-02-06 10:44:51,EUR/USD,$1.178381
2026-02-06 09:42:51,EUR/USD,$1.179825
2026-02-06 09:26:51,EUR/USD,$1.178184
2026-02-06 09:08:51,EUR/USD,$1.179364
2026-02-06 08:40:51,EUR/USD,$1.180950
2026-02-06 08:10:51,EUR/USD,$1.179706
2026-02-06 05:36:51,EUR/USD,$1.178449
2026-02-06 05:32:51,EUR/USD,$1.179972
2026-02-06 05:28:51,EUR/USD,$1.178596
2026-02-06 04:54:51,EUR/USD,$1.177417
2026-02-06 03:44:51,EUR/USD,$1.178821
2026-02-06 03:40:51,EUR/USD,$1.180245
2026-02-06 00:38:51,EUR/USD,$1.179044
2026-02-06 00:28:51,EUR/USD,$1.180356
2026-02-05 23:56:51,EUR/USD,$1.178927
2026-02-05 23:54:52,EUR/USD,$1.180783
2026-02-05 23:38:51,EUR/USD,$1.179040
2026-02-05 23:22:51,EUR/USD,$1.180452
2026-02-05 22:56:51,EUR/USD,$1.178853
2026-02-05 22:52:51,EUR/USD,$1.180072
2026-02-05 22:28:51,EUR/USD,$1.178302
2026-02-05 22:14:51,EUR/USD,$1.179603
2026-02-05 20:12:51,EUR/USD,$1.178259
2026-02-05 19:24:51,EUR/USD,$1.176974
2026-02-05 19:06:51,EUR/USD,$1.178207
2026-02-05 18:22:51,EUR/USD,$1.176180
2026-02-05 18:08:51,EUR/USD,$1.178338
2026-02-05 16:58:51,EUR/USD,$1.176929
2026-02-05 16:56:51,EUR/USD,$1.179172
2026-02-05 15:36:51,EUR/USD,$1.177169
2026-02-05 15:34:51,EUR/USD,$1.179077
2026-02-05 15:06:51,EUR/USD,$1.177374
2026-02-05 14:50:51,EUR/USD,$1.178770
2026-02-05 14:49:02,EUR/USD,$1.180124
2026-02-05 14:48:51,EUR/USD,$1.180124
2026-02-05 14:22:51,EUR/USD,$1.178011
2026-02-05 13:30:51,EUR/USD,$1.179908
2026-02-05 13:28:51,EUR/USD,$1.181701
2026-02-05 13:10:51,EUR/USD,$1.180456
2026-02-05 13:06:51,EUR/USD,$1.179267
2026-02-05 12:06:51,EUR/USD,$1.180508
2026-02-05 09:54:51,EUR/USD,$1.179049
2026-02-05 09:50:51,EUR/USD,$1.177832
2026-02-05 09:32:51,EUR/USD,$1.179321
2026-02-05 07:36:51,EUR/USD,$1.181080
2026-02-05 07:14:51,EUR/USD,$1.179760
2026-02-05 07:12:51,EUR/USD,$1.181233
2026-02-05 06:50:51,EUR/USD,$1.179815
2026-02-05 06:48:51,EUR/USD,$1.181379
2026-02-05 06:24:51,EUR/USD,$1.179261
2026-02-05 06:10:51,EUR/USD,$1.180796
2026-02-05 06:06:51,EUR/USD,$1.179164
2026-02-05 06:04:51,EUR/USD,$1.181206
2026-02-05 05:58:51,EUR/USD,$1.179038
2026-02-05 05:54:51,EUR/USD,$1.180442
2026-02-05 05:52:51,EUR/USD,$1.179232
2026-02-05 05:42:51,EUR/USD,$1.181039
2026-02-05 05:10:51,EUR/USD,$1.179824
2026-02-05 05:08:51,EUR/USD,$1.181163
2026-02-05 05:04:51,EUR/USD,$1.178995
2026-02-05 05:02:51,EUR/USD,$1.180656
2026-02-05 04:56:51,EUR/USD,$1.179047
2026-02-05 04:46:51,EUR/USD,$1.180228
2026-02-05 04:44:51,EUR/USD,$1.181998
2026-02-05 04:38:51,EUR/USD,$1.179683
2026-02-05 04:36:51,EUR/USD,$1.181746
2026-02-05 04:30:51,EUR/USD,$1.180410
2026-02-05 04:28:51,EUR/USD,$1.182221
2026-02-05 04:20:51,EUR/USD,$1.180141
2026-02-05 04:16:51,EUR/USD,$1.178867
2026-02-05 04:14:51,EUR/USD,$1.181337
2026-02-05 03:40:51,EUR/USD,$1.179478
2026-02-05 03:28:51,EUR/USD,$1.178233
2026-02-05 03:02:51,EUR/USD,$1.179490
2026-02-05 02:38:51,EUR/USD,$1.180696
2026-02-05 02:36:51,EUR/USD,$1.182936
2026-02-05 02:10:51,EUR/USD,$1.180590
2026-02-05 02:06:51,EUR/USD,$1.182574
2026-02-05 01:58:51,EUR/USD,$1.179643
2026-02-05 01:56:51,EUR/USD,$1.181023
